MGI Gene/Marker ID	Symbol	Name
MGI:108078	Sfrp2	secreted frizzled-related protein 2
MGI:892010	Sfrp4	secreted frizzled-related protein 4
MGI:1201674	Smad3	SMAD family member 3
MGI:98366	Sox4	SRY (sex determining region Y)-box 4
MGI:98366	Sox4	SRY (sex determining region Y)-box 4
MGI:98397	Src	Rous sarcoma oncogene
MGI:1919293	Sulf2	sulfatase 2
MGI:2441730	Tbl1xr1	transducin (beta)-like 1X-linked receptor 1
MGI:98725	Tgfb1	transforming growth factor, beta 1
MGI:98742	Thra	thyroid hormone receptor alpha
MGI:1913491	Tmem9	transmembrane protein 9
MGI:1913491	Tmem9	transmembrane protein 9
MGI:2443133	Tmem198	transmembrane protein 198
MGI:2443133	Tmem198	transmembrane protein 198
MGI:1341087	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
MGI:1341087	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
MGI:1921743	Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2
MGI:1921743	Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2
MGI:1915917	Trpm4	transient receptor potential cation channel, subfamily M, member 4
MGI:1920918	Ttc21b	tetratricopeptide repeat domain 21B
MGI:102944	Ube2b	ubiquitin-conjugating enzyme E2B
MGI:1918040	Ubr5	ubiquitin protein ligase E3 component n-recognin 5
MGI:1934029	Usp8	ubiquitin specific peptidase 8
MGI:109473	Usp34	ubiquitin specific peptidase 34
MGI:1922246	Usp47	ubiquitin specific peptidase 47
MGI:99919	Vcp	valosin containing protein
MGI:1890467	Vps35	VPS35 retromer complex component
MGI:1915401	Wls	wntless WNT ligand secretion mediator
MGI:1915401	Wls	wntless WNT ligand secretion mediator
MGI:2442092	Wnk1	WNK lysine deficient protein kinase 1
MGI:1922857	Wnk2	WNK lysine deficient protein kinase 2
MGI:98956	Wnt3a	wingless-type MMTV integration site family, member 3A
MGI:98956	Wnt3a	wingless-type MMTV integration site family, member 3A
MGI:98956	Wnt3a	wingless-type MMTV integration site family, member 3A
MGI:108061	Wnt10b	wingless-type MMTV integration site family, member 10B
MGI:107572	Xiap	X-linked inhibitor of apoptosis
MGI:103262	Yap1	yes-associated protein 1
MGI:1919364	Zbed3	zinc finger, BED type containing 3
MGI:1919364	Zbed3	zinc finger, BED type containing 3
MGI:1344407	Zeb2	zinc finger E-box binding homeobox 2

