MGI Gene/Marker ID	Symbol	Name
MGI:1201674	Smad3	SMAD family member 3
MGI:1100518	Smad7	SMAD family member 7
MGI:98371	Sox9	SRY (sex determining region Y)-box 9
MGI:98371	Sox9	SRY (sex determining region Y)-box 9
MGI:107543	Sox17	SRY (sex determining region Y)-box 17
MGI:1341157	Sox30	SRY (sex determining region Y)-box 30
MGI:1921642	Specc1l	sperm antigen with calponin homology and coiled-coil domains 1-like
MGI:1345643	Sufu	SUFU negative regulator of hedgehog signaling
MGI:1923531	Tax1bp3	Tax1 (human T cell leukemia virus type I) binding protein 3
MGI:1336172	Tbl1x	transducin (beta)-like 1 X-linked
MGI:2441730	Tbl1xr1	transducin (beta)-like 1X-linked receptor 1
MGI:98506	Tcf4	transcription factor 4
MGI:98507	Tcf7	transcription factor 7, T cell specific
MGI:1202876	Tcf7l1	transcription factor 7 like 1 (T cell specific, HMG box)
MGI:1202879	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box
MGI:1202879	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box
MGI:1202879	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box
MGI:98759	Tjp1	tight junction protein 1
MGI:109525	Trpc4	transient receptor potential cation channel, subfamily C, member 4
MGI:3649276	Vinac1	vinculin/alpha-catenin family member 1

