MGI Gene/Marker ID	Symbol	Name
MGI:1919140	Mad2l2	MAD2 mitotic arrest deficient-like 2
MGI:1346865	Mapk14	mitogen-activated protein kinase 14
MGI:96930	Mcc	mutated in colorectal cancers
MGI:96930	Mcc	mutated in colorectal cancers
MGI:96949	Mdk	midkine
MGI:107785	Mesp1	mesoderm posterior 1
MGI:1917372	Mllt3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3
MGI:2135954	Nkd1	naked cuticle 1
MGI:2135954	Nkd1	naked cuticle 1
MGI:1919543	Nkd2	naked cuticle 2
MGI:97350	Nkx2-5	NK2 homeobox 5
MGI:104327	Nog	noggin
MGI:97363	Notch1	notch 1
MGI:97363	Notch1	notch 1
MGI:1924833	Notum	notum palmitoleoyl-protein carboxylesterase
MGI:1924833	Notum	notum palmitoleoyl-protein carboxylesterase
MGI:1921275	Nphp3	nephronophthisis 3 (adolescent)
MGI:2384210	Nphp4	nephronophthisis 4 (juvenile) homolog (human)
MGI:2384210	Nphp4	nephronophthisis 4 (juvenile) homolog (human)
MGI:97367	Nppa	natriuretic peptide type A
MGI:1859615	Otud5	OTU domain containing 5
MGI:1928753	Pfdn5	prefoldin 5
MGI:2442104	Ppp2r3a	protein phosphatase 2, regulatory subunit B'', alpha
MGI:1916034	Prickle1	prickle planar cell polarity protein 1
MGI:1355296	Prkn	parkin RBR E3 ubiquitin protein ligase
MGI:1097152	Ptpro	protein tyrosine phosphatase, receptor type, O
MGI:1097152	Ptpro	protein tyrosine phosphatase, receptor type, O
MGI:1321151	Ptpru	protein tyrosine phosphatase, receptor type, U
MGI:104580	Rapgef1	Rap guanine nucleotide exchange factor (GEF) 1
MGI:2444477	Rbms3	RNA binding motif, single stranded interacting protein
MGI:1347521	Ror2	receptor tyrosine kinase-like orphan receptor 2
MGI:1342299	Ruvbl2	RuvB-like protein 2
MGI:1289172	Scyl2	SCY1-like 2 (S. cerevisiae)
MGI:1913322	Sdhaf2	succinate dehydrogenase complex assembly factor 2
MGI:1913322	Sdhaf2	succinate dehydrogenase complex assembly factor 2
MGI:892014	Sfrp1	secreted frizzled-related protein 1
MGI:892014	Sfrp1	secreted frizzled-related protein 1
MGI:892014	Sfrp1	secreted frizzled-related protein 1
MGI:892014	Sfrp1	secreted frizzled-related protein 1
