MGI Gene/Marker ID	Symbol
MGI:98733	Tg
MGI:98725	Tgfb1
MGI:1346060	Tlr2
MGI:1923457	Tmem98
MGI:104798	Tnf
MGI:1314883	Tnfrsf1b
MGI:1314883	Tnfrsf1b
MGI:2151075	Tnfrsf21
MGI:2151075	Tnfrsf21
MGI:2151075	Tnfrsf21
MGI:1920198	Tppp
MGI:1920198	Tppp
MGI:1920198	Tppp
MGI:1920198	Tppp
MGI:98821	Trf
MGI:1929183	Tsc1
MGI:1917997	Tspan2
MGI:1920212	Tymp
MGI:109522	Ugt8a
MGI:109522	Ugt8a
MGI:1921622	Ulk4
MGI:2658986	Wasf3
MGI:2658986	Wasf3
MGI:103569	Xk
MGI:1929704	Zfp24
MGI:1929704	Zfp24
MGI:2686052	Zfp488
MGI:1289293	Zkscan6
MGI:1330262	Zpr1

