"","label","hjust","vjust","PANEL","x","y",".y.","p","p.adj","p.format","p.signif","method","colour","size","angle","alpha","family","fontface","lineheight"
"1","*",0.5,0,"1",1,0.6,"y",0.0363961831799806,0.14,"0.0364","*","Anova","black",6,0,NA,"Helvetica",1,1.2
"2","ns",0.5,0,"1",2,0.6,"y",0.0864915708462971,0.17,"0.0865","ns","Anova","black",6,0,NA,"Helvetica",1,1.2
"3","****",0.5,0,"1",3,0.6,"y",4.2097788504935e-05,0.00029,"4.2e-05","****","Anova","black",6,0,NA,"Helvetica",1,1.2
"4","**",0.5,0,"1",4,0.6,"y",0.00107149705567595,0.0064,"0.0011","**","Anova","black",6,0,NA,"Helvetica",1,1.2
"5","*",0.5,0,"1",5,0.6,"y",0.0344896172176796,0.14,"0.0345","*","Anova","black",6,0,NA,"Helvetica",1,1.2
"6","*",0.5,0,"1",6,0.6,"y",0.0255765642655802,0.13,"0.0256","*","Anova","black",6,0,NA,"Helvetica",1,1.2
"7","ns",0.5,0,"1",7,0.6,"y",0.63015760717373,0.63,"0.6302","ns","Anova","black",6,0,NA,"Helvetica",1,1.2
