"","label","hjust","vjust","PANEL","x","y",".y.","p","p.adj","p.format","p.signif","method","colour","size","angle","alpha","family","fontface","lineheight"
"1","ns",0.5,0,"1",1,35,"y",0.854873198288991,1,"0.85","ns","Anova","black",6,0,NA,"Helvetica",1,1.2
"2","ns",0.5,0,"1",2,35,"y",0.173105774655977,0.87,"0.17","ns","Anova","black",6,0,NA,"Helvetica",1,1.2
"3","ns",0.5,0,"1",3,35,"y",0.590594591549338,1,"0.59","ns","Anova","black",6,0,NA,"Helvetica",1,1.2
"4","ns",0.5,0,"1",4,35,"y",0.442897866106674,1,"0.44","ns","Anova","black",6,0,NA,"Helvetica",1,1.2
"5","ns",0.5,0,"1",5,35,"y",0.563076049379922,1,"0.56","ns","Anova","black",6,0,NA,"Helvetica",1,1.2
