"","label","hjust","vjust","PANEL","x","y",".y.","p","p.adj","p.format","p.signif","method","colour","size","angle","alpha","family","fontface","lineheight"
"1","ns",0.5,0,"1",1,0.6,"y",0.11587481338119,0.58,"0.116","ns","Anova","black",7,0,NA,"",1,1.2
"2","ns",0.5,0,"1",2,0.6,"y",0.598977993798322,1,"0.599","ns","Anova","black",7,0,NA,"",1,1.2
"3","ns",0.5,0,"1",3,0.6,"y",0.563098133769471,1,"0.563","ns","Anova","black",7,0,NA,"",1,1.2
"4","*",0.5,0,"1",4,0.6,"y",0.0159903824127709,0.11,"0.016","*","Anova","black",7,0,NA,"",1,1.2
"5","ns",0.5,0,"1",6,0.6,"y",0.187124438709461,0.75,"0.187","ns","Anova","black",7,0,NA,"",1,1.2
"6","*",0.5,0,"1",5,0.6,"y",0.0219144991544476,0.13,"0.022","*","Anova","black",7,0,NA,"",1,1.2
"7","ns",0.5,0,"1",7,0.6,"y",0.355951332242323,1,"0.356","ns","Anova","black",7,0,NA,"",1,1.2
