"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"1",2.5991284590917e-05,0.805921285246265,0.183,0.01,0.826262937145251
"2",0.00353558814821106,0.614743204654474,0.539,0.333,1
"3",0.00388222047515567,0.555982296881519,0.174,0.04,1
"4",0.00616222626256892,0.517710937550331,0.4,0.212,1
"5",0.00858625685671875,0.531471292122432,0.2,0.061,1
"6",0.0146779709314319,0.509923951073302,0.157,0.04,1
"7",0.0163638339750712,0.5240122972939,0.348,0.182,1
"8",0.0237160731062903,0.509832513272143,0.426,0.263,1
"9",0.024175679200403,0.501952569773759,0.383,0.242,1
"10",0.0258583917346921,0.522742633542915,0.2,0.081,1
"11",0.026761278309837,0.562385547800422,0.4,0.263,1
"12",0.0336581985620492,0.549000402500537,0.174,0.061,1
"13",0.049641547857194,0.547904548846197,0.104,0.03,1
"14",0.0553051808054389,0.501030002214842,0.287,0.182,1
"15",0.0572350141699357,0.499954843252774,0.461,0.313,1
"16",0.061225702746945,0.612882956935785,0.139,0.051,1
"17",0.0701640581626386,0.501091346323687,0.174,0.081,1
"18",0.098585263929975,0.496083005465497,0.13,0.051,1
"19",0.113324983597788,0.515806578406381,0.148,0.071,1
"20",0.172901185699072,0.497378902829646,0.183,0.101,1
"21",1.78304330231021e-09,-0.881392082904265,0.174,0.586,5.66829465804416e-05
"22",0.000112735540302793,-0.63234910405011,0,0.101,1
"23",0.000632996157560709,-0.555856037088805,0,0.081,1
"24",0.000638833212348767,-0.657503344148455,0.017,0.152,1
"25",0.00157353520106716,-0.61032690665549,0.017,0.141,1
"26",0.00222250994565656,-0.599829897803278,0.157,0.364,1
"27",0.00319911927718541,-0.661330412298786,0.078,0.242,1
"28",0.00360232923037532,-0.844729823424933,0.043,0.182,1
"29",0.00367844732460064,-0.704947035142075,0.061,0.212,1
"30",0.00632569245226637,-0.569811729775877,0.017,0.121,1
"31",0.00636932791054648,-0.642358343281504,0.017,0.121,1
"32",0.00740536032097417,-0.634675807904432,0.043,0.172,1
"33",0.0119571015606112,-0.601739639581424,0.13,0.293,1
"34",0.0130645505936988,-0.594925507221433,0.043,0.162,1
"35",0.013791310023249,-0.541860405392201,0.07,0.202,1
"36",0.0170273243642234,-0.597511073226909,0.061,0.182,1
"37",0.0870173385274404,-0.649481980263245,0.009,0.061,1
"38",0.278248674659836,-0.64244818804276,0.035,0.081,1
"39",0.359251823376404,-0.779721170383309,0.157,0.182,1
"40",0.918120295745454,-0.723947023584236,0.009,0.01,1
