"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Mycn",0.000242678538572874,9.92241721139541e-06,329,3146,3.2188758248682,0.693147180559945,4.46113002514095e-309,2.52572864430826,12.5,294,365,25.309308209678,22.6168286129037,28.0787157949315,TRUE,TRUE,TRUE,FALSE,TRUE
"Mcm7",0.000204186818987854,7.34597125369048e-06,338,1750,3.04452243772342,0.693147180559945,0,2.35137525716348,10.5,302,374,26.0016601059914,23.2322525207379,28.7710676912449,TRUE,TRUE,TRUE,FALSE,TRUE
"Pafah1b3",0.000201309219645749,1.25428005200722e-05,239,3326,3.04452243772342,0.693147180559945,8.9691304552932e-190,2.35137525716348,10.5,209,270,18.3857892465442,16.0779495921663,20.7705568894014,TRUE,TRUE,TRUE,FALSE,TRUE
"Lmnb1",0.000169679319848178,6.86884013295531e-06,347,1702,2.89037175789616,0.693147180559945,0,2.19722457733622,9,311,384,26.6940120023048,23.9246044170512,29.5403475760375,TRUE,TRUE,TRUE,FALSE,TRUE
"Casp3",0.000152680543997976,7.99950375764982e-06,210,2084,2.77258872223978,0.693147180559945,5.84933138815606e-195,2.07944154167984,8,182,239,16.1548775806455,14.0008939032261,18.3857892465442,TRUE,TRUE,TRUE,FALSE,TRUE
"Cenpe",0.000148984536336032,5.81704555533732e-06,278,2097,2.77258872223978,0.693147180559945,1.80398038603218e-287,2.07944154167984,8,246,311,21.3859807972355,18.9242851658991,23.9246044170512,TRUE,TRUE,TRUE,FALSE,TRUE
"Rrm1",0.000147866557712551,1.44882790961438e-05,274,3515,2.77258872223978,0.693147180559945,5.03604614333458e-226,2.07944154167984,8,242,307,21.0782688433185,18.616573211982,23.6168924631342,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm8730",0.000125238002753036,1.2127604608866e-05,176,2992,2.63905732961526,0.693147180559945,1.64211394638861e-126,1.94591014905531,7,150,202,13.5393259723505,11.5391982718897,15.5394536728114,TRUE,TRUE,TRUE,FALSE,TRUE
"Cdkn2c",0.000123965114686235,5.39841354765862e-06,209,928,2.56494935746154,0.693147180559945,1.06606129039276e-259,1.87180217690159,6.5,181,238,16.0779495921663,13.9239659147469,18.3088612580649,TRUE,TRUE,TRUE,FALSE,TRUE
"Dlx1",0.000120385110759109,1.30101413247452e-05,215,4105,2.56494935746154,0.693147180559945,2.02648457711421e-144,1.87180217690159,6.5,187,244,16.5395175230419,14.3855338456225,18.7704291889405,TRUE,TRUE,TRUE,FALSE,TRUE
"Hells",0.000115321579352227,6.23140686208553e-06,206,1836,2.56494935746154,0.693147180559945,5.12652200975508e-200,1.87180217690159,6.5,178,235,15.8471656267285,13.6931819493091,18.0780772926271,TRUE,TRUE,TRUE,FALSE,TRUE
