"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Galnt10",0.000116999721337423,3.33342729460103e-06,239,754,2.56494935746154,0,4.62456526835861e-261,2.56494935746154,13,209,270,9.56840871758101,8.36735323001854,10.8094993880622,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm38039",0.000122034860328659,3.28316318824905e-06,342,1220,2.56494935746154,0,0,2.56494935746154,13,306,379,13.6920325582122,12.2507659731372,15.1733343262059,TRUE,TRUE,TRUE,FALSE,TRUE
"Chadl",0.00023806764648291,1.45631090790919e-05,608,3518,3.2188758248682,0.693147180559945,0,2.52572864430826,12.5,560,657,24.3413912145994,22.4197024344994,26.3031151776181,TRUE,TRUE,TRUE,FALSE,TRUE
"Caskin2",0.00023452138919369,8.43651615507305e-06,448,1469,3.17805383034795,0.693147180559945,0,2.484906649788,12,407,490,17.9357619475996,16.2943194479308,19.617239630187,TRUE,TRUE,TRUE,FALSE,TRUE
"Megf11",0.000219635559522349,1.09850968015374e-05,412,4257,3.13549421592915,0.693147180559945,1.09630174181576e-264,2.4423470353692,11.5,373,452,16.4944953625246,14.9331232286934,18.0959026792745,TRUE,TRUE,TRUE,FALSE,TRUE
"Sox6",0.00021326760609553,1.22273684989705e-05,525,2275,3.09104245335832,0.693147180559945,0,2.39789527279837,11,481,570,21.0184710323432,19.2569229839183,22.8200542636869,TRUE,TRUE,TRUE,FALSE,TRUE
"Arhgap31",0.000203562413286591,1.48388883251877e-05,417,3162,3.04452243772342,0.693147180559945,1.13480288014019e-316,2.35137525716348,10.5,377,457,16.6946712771183,15.0932639603684,18.2960785938683,TRUE,TRUE,TRUE,FALSE,TRUE
"Brinp3",0.000203611639763365,1.32510064733468e-05,411,3499,3.04452243772342,0.693147180559945,4.2258524219572e-294,2.35137525716348,10.5,372,451,16.4544601796058,14.8930880457746,18.0558674963558,TRUE,TRUE,TRUE,FALSE,TRUE
"Gal3st1",0.000193041648631025,1.12039801292785e-05,575,2396,2.99573227355399,0.693147180559945,0,2.30258509299405,10,528,622,23.0202301782807,21.1385765810995,24.9018837754619,TRUE,TRUE,TRUE,FALSE,TRUE
"Shc4",0.000193300432125329,7.68263910126319e-06,393,2616,2.99573227355399,0.693147180559945,5.17500167554789e-318,2.30258509299405,10,355,432,15.7338268870684,14.2124899361559,17.2951990208996,TRUE,TRUE,TRUE,FALSE,TRUE
"Ampd3",0.000181316490685364,1.02817881179141e-05,382,2266,2.94443897916644,0.693147180559945,0,2.25129179860649,9.5,344,421,15.2934398749621,13.7721029240497,16.8548120087933,TRUE,TRUE,TRUE,FALSE,TRUE
"Calcrl",0.000175927362751972,9.18800115927174e-06,352,1889,2.94443897916644,0.693147180559945,8.32977832682609e-314,2.25129179860649,9.5,316,389,14.0923843873996,12.6511178023247,15.5736861553934,TRUE,TRUE,TRUE,FALSE,TRUE
"Pxdc1",0.000179217576327783,1.25824786726006e-05,404,3114,2.94443897916644,0.693147180559945,2.34917028247554e-304,2.25129179860649,9.5,365,444,16.1742138991746,14.6128417653434,17.7756212159246,TRUE,TRUE,TRUE,FALSE,TRUE
"Smoc1",0.00018332581766433,1.09370218443695e-05,395,2498,2.94443897916644,0.693147180559945,0,2.25129179860649,9.5,357,434,15.8138972529059,14.2925603019934,17.3752693867371,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem163",0.000164263817611744,6.62884943870532e-06,633,1783,2.83321334405622,0.693147180559945,0,2.14006616349627,8.5,584,683,25.3422707875681,23.3805468245494,27.3440299335056,TRUE,TRUE,TRUE,FALSE,TRUE
"Cdc42ep1",0.000146049631329536,1.40321694723039e-05,285,2350,2.77258872223978,0.693147180559945,4.87066718957437e-208,2.07944154167984,8,252,319,11.4100271318435,10.0888660955247,12.7712233510809,TRUE,TRUE,TRUE,FALSE,TRUE
"Spry1",0.000146153664211218,8.56035378271073e-06,267,2168,2.77258872223978,0.693147180559945,1.38026599776935e-196,2.07944154167984,8,235,299,10.689393839306,9.40826798590601,11.9705196927059,TRUE,TRUE,TRUE,FALSE,TRUE
"Lnx1",0.000142374809754601,1.13075710932524e-05,294,4219,2.70805020110221,0.693147180559945,1.37440147641365e-153,2.01490302054226,7.5,261,328,11.7703437781122,10.4491827417935,13.1315399973497,TRUE,TRUE,TRUE,FALSE,TRUE
"Afap1l2",0.00012762453404908,7.19134442046303e-06,289,1300,2.63905732961526,0.693147180559945,3.08921169249e-277,1.94591014905531,7,256,323,11.5701678635185,10.2490068271997,12.9313640827559,TRUE,TRUE,TRUE,FALSE,TRUE
"Col9a3",0.000127804035398773,7.42301397221847e-06,479,1582,2.63905732961526,0.693147180559945,0,1.94591014905531,7,437,522,19.1768526180808,17.4953749354933,20.898365483587,TRUE,TRUE,TRUE,FALSE,TRUE
"Prrx1",0.000120367566722174,1.44053214889818e-05,249,2491,2.56494935746154,0.693147180559945,7.96514947801789e-164,1.87180217690159,6.5,219,280,9.9687605467685,8.76770505920603,11.2098512172497,TRUE,TRUE,TRUE,FALSE,TRUE
"Trib1",0.000123308888213848,1.25472332806024e-05,238,2670,2.56494935746154,0.693147180559945,1.93616621646893e-146,1.87180217690159,6.5,208,269,9.52837353466226,8.32731804709979,10.7694642051435,TRUE,TRUE,TRUE,FALSE,TRUE
