"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Ano1",0.000331358183154876,8.13646292429737e-07,524,209,3.52636052461616,0,0,3.52636052461616,34,480,569,32.849884179082,30.0914969579377,35.6709620188887,TRUE,TRUE,TRUE,FALSE,TRUE
"Notch3",0.000329226603951562,1.54056445077632e-06,482,318,3.52636052461616,0,0,3.52636052461616,34,439,525,30.2168781952625,27.5211815927806,32.9125747977444,TRUE,TRUE,TRUE,FALSE,TRUE
"Enpep",0.000321332868674315,7.94470912728474e-07,433,177,3.49650756146648,0,0,3.49650756146648,33,393,474,27.1450378808063,24.6374131343115,29.7153532459635,TRUE,TRUE,TRUE,FALSE,TRUE
"Nexn",0.000653868193486297,8.17877416998696e-06,1383,2418,4.18965474202643,0.693147180559945,0,3.49650756146648,33,1311,1456,86.7011256100581,82.1874010663674,91.2775407724111,TRUE,TRUE,TRUE,FALSE,TRUE
"Sncg",0.000654438228400255,8.85294435334738e-06,1333,3238,4.18965474202643,0.693147180559945,0,3.49650756146648,33,1262,1405,83.5665946769396,79.1155607519113,88.0803192206302,TRUE,TRUE,TRUE,FALSE,TRUE
"Rbpms",0.00064289225650733,8.12821275339026e-06,1080,1567,4.17438726989564,0.693147180559945,0,3.48124008933569,32.5,1016,1145,67.7058681553599,63.6936685609682,71.780758368414,TRUE,TRUE,TRUE,FALSE,TRUE
"Ntn4",0.000301967567941364,4.29363526435169e-06,608,953,3.43398720448515,0,0,3.43398720448515,31,560,657,38.1158961467211,35.1067464509274,41.1877364611773,TRUE,TRUE,TRUE,FALSE,TRUE
"Pdgfrb",0.00061364984497132,9.01106246620451e-06,848,1616,4.12713438504509,0.693147180559945,0,3.43398720448515,31,791,906,53.16164462569,49.5882793619349,56.7977005081075,TRUE,TRUE,TRUE,FALSE,TRUE
"Pth1r",0.000302088063021033,4.88204842050956e-06,404,1130,3.43398720448515,0,0,3.43398720448515,31,365,444,25.3270099395976,22.8820758117652,27.8346346860924,TRUE,TRUE,TRUE,FALSE,TRUE
"Gjc1",0.000553601899885277,9.23910910484375e-06,833,1891,4.02535169073515,0.693147180559945,0,3.3322045101752,28,777,890,52.2212853457544,48.7106107006617,55.7946506095095,TRUE,TRUE,TRUE,FALSE,TRUE
"Hspb2",0.00027044388111536,1.06060442186746e-06,493,264,3.3322045101752,0,0,3.3322045101752,28,450,537,30.9064750005485,28.2107783980666,33.6648622216928,TRUE,TRUE,TRUE,FALSE,TRUE
"Cnn1",0.000260560284486934,3.21804785997606e-07,583,90,3.29583686600433,0,0,3.29583686600433,27,536,631,36.5486306801619,33.6021716030305,39.5577803759556,TRUE,TRUE,TRUE,FALSE,TRUE
"Palld",0.000525352575130656,7.41708375498044e-06,1149,2039,3.98898404656427,0.693147180559945,0,3.29583686600433,27,1083,1216,72.0315208430634,67.893940011347,76.2317922934423,TRUE,TRUE,TRUE,FALSE,TRUE
"Pcdh18",0.000263520676698534,3.58654938415015e-06,372,855,3.29583686600433,0,0,3.29583686600433,27,335,410,23.3209101424017,21.001357251894,25.7031536515718,TRUE,TRUE,TRUE,FALSE,TRUE
"Pdlim3",0.000258541078158063,5.9245252906073e-07,543,142,3.29583686600433,0,0,3.29583686600433,27,498,589,34.0410059336671,31.2199280938604,36.9247743921361,TRUE,TRUE,TRUE,FALSE,TRUE
"Naalad2",0.000247334719949012,1.50504220911576e-06,343,287,3.25809653802148,0,0,3.25809653802148,26,307,380,21.502882201193,19.2460199293477,23.8224350917007,TRUE,TRUE,TRUE,FALSE,TRUE
"Zic1",0.000513825207456978,1.04296393506941e-05,721,1738,3.95124371858143,0.693147180559945,0,3.25809653802148,26,669,774,45.199936055569,41.9400238851257,48.5225388446746,TRUE,TRUE,TRUE,FALSE,TRUE
"Ebf1",0.000497195132549395,1.0752726747378e-05,810,1967,3.93182563272433,0.693147180559945,0,3.23867845216438,25.5,755,866,50.7794011165199,47.3314170900896,54.2900757616127,TRUE,TRUE,TRUE,FALSE,TRUE
"S1pr3",0.00049920559042065,5.8091959124158e-06,725,1674,3.93182563272433,0.693147180559945,0,3.23867845216438,25.5,673,778,45.4506985302184,42.1907863597752,48.7733013193241,TRUE,TRUE,TRUE,FALSE,TRUE
"Heyl",0.000235315002606756,1.51886929577087e-06,374,293,3.2188758248682,0,0,3.2188758248682,25,337,412,23.4462913797265,21.1267384892188,25.8285348888966,TRUE,TRUE,TRUE,FALSE,TRUE
"Pde3a",0.000485818645226258,6.46217440118638e-06,948,2140,3.91202300542815,0.693147180559945,0,3.2188758248682,25,888,1009,59.430706491927,55.6692693721848,63.2548342303316,TRUE,TRUE,TRUE,FALSE,TRUE
