"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Tmem72",0.000171223704795455,2.319487748429e-08,106,13,2.89037175789616,0,2.93429229625911e-291,2.89037175789616,18,86,127,28.9064630488137,23.4524134169621,34.633215162258,TRUE,TRUE,TRUE,FALSE,TRUE
"Cox8b",0.000159962252068182,1.07619680695028e-06,91,210,2.83321334405622,0,6.02119394915488e-186,2.83321334405622,17,73,110,24.815925824925,19.9072811562585,29.9972729751841,TRUE,TRUE,TRUE,FALSE,TRUE
"Msx1",0.000320489534772727,1.49370823219111e-05,157,2888,3.49650756146648,0.693147180559945,1.51552021807508e-190,2.80336038090653,16.5,133,182,42.8142896100355,36.2694300518135,49.63185164985,TRUE,TRUE,TRUE,FALSE,TRUE
"Bst2",0.000309842614545455,1.31320537621956e-05,141,2468,3.46573590279973,0.693147180559945,3.21441777300115e-174,2.77258872223978,16,118,165,38.4510499045541,32.1788928279247,44.9959094627761,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc13a4",0.000147255995659091,2.35000527549069e-06,79,396,2.77258872223978,0,1.5610692074846e-138,2.77258872223978,16,62,97,21.543496045814,16.9075538587401,26.4521407144805,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc4a2",0.000295509685022727,1.10274251048712e-05,144,2368,3.43398720448515,0.693147180559945,1.35834038574379e-181,2.7408400239252,15.5,121,168,39.2691573493319,32.9970002727025,45.8140169075539,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc4a5",0.000129458858090909,3.97961917012594e-08,64,10,2.63905732961526,0,1.73804347589836e-174,2.63905732961526,14,49,80,17.4529588219253,13.3624215980365,21.8161985274066,TRUE,TRUE,TRUE,FALSE,TRUE
"Pcolce",0.000259016681681818,1.02859212166521e-05,102,1486,3.29583686600433,0.693147180559945,2.76688729717085e-134,2.60268968544438,13.5,83,122,27.8156531224434,22.6343059721843,33.2697027542951,TRUE,TRUE,TRUE,FALSE,TRUE
"Dab2",0.000254101978090909,1.42485849493139e-05,97,2363,3.25809653802148,0.693147180559945,3.22991266613375e-107,2.56494935746154,13,78,117,26.4521407144805,21.2707935642214,31.9061903463321,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm29538",0.000119322035818182,3.86524420181028e-07,50,111,2.56494935746154,0,1.21037727390193e-103,2.56494935746154,13,37,64,13.6351240796291,10.0899918189256,17.4529588219253,TRUE,TRUE,TRUE,FALSE,TRUE
"Oca2",0.000123752295681818,4.73938224681174e-07,59,211,2.56494935746154,0,1.28584826811287e-111,2.56494935746154,13,44,75,16.0894464139624,11.9989091900736,20.4526861194437,TRUE,TRUE,TRUE,FALSE,TRUE
"Tmem98",0.000250618908795455,1.48312860839833e-05,105,2669,3.25809653802148,0.693147180559945,4.60158466830709e-114,2.56494935746154,13,85,126,28.6337605672212,23.1797109353695,34.3605126806654,TRUE,TRUE,TRUE,FALSE,TRUE
