"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Nes",0.000456845522788329,1.04003868080788e-05,2851,1931,3.85014760171006,0.693147180559945,0,3.15700042115011,23.5,2747,2956,46.0673196882934,44.3868562552585,47.763941423569,TRUE,TRUE,TRUE,FALSE,TRUE
"Cdkn2b",0.000216282465166076,1.14655259230009e-06,1280,249,3.13549421592915,0,0,3.13549421592915,23,1210,1351,20.6826268681219,19.5515457112715,21.8298663272131,TRUE,TRUE,TRUE,FALSE,TRUE
"Fzd6",0.000222430870199386,4.24298984899428e-06,1479,731,3.13549421592915,0,0,3.13549421592915,23,1404,1555,23.8981290140252,22.6862563459712,25.12615998432,TRUE,TRUE,TRUE,FALSE,TRUE
"Gbp3",0.000224683841060005,1.69275831302048e-06,1397,294,3.13549421592915,0,0,3.13549421592915,23,1324,1471,22.5731482302862,21.3935921667136,23.7688625960995,TRUE,TRUE,TRUE,FALSE,TRUE
"Gm694",0.000216348035502717,3.26839503871003e-07,1415,84,3.13549421592915,0,0,3.13549421592915,23,1342,1489,22.8639976706191,21.6844416070466,24.0597120364324,TRUE,TRUE,TRUE,FALSE,TRUE
"Tinagl1",0.000454403349475784,1.02869874695536e-05,3233,1691,3.8286413964891,0.693147180559945,0,3.13549421592915,23,3122,3345,52.2397911442485,50.4462195955286,54.0495209952092,TRUE,TRUE,TRUE,FALSE,TRUE
"St3gal6",0.000444210455062367,1.13825831816901e-05,2894,2210,3.80666248977032,0.693147180559945,0,3.11351530921037,22.5,2789,3000,46.7621266846444,45.0655049493688,48.4749067221607,TRUE,TRUE,TRUE,FALSE,TRUE
"Bvht",0.000210067960702103,1.22992487831506e-06,1340,353,3.09104245335832,0,0,3.09104245335832,22,1269,1412,21.6521250025651,20.504885543474,22.815522763897,TRUE,TRUE,TRUE,FALSE,TRUE
"Cyyr1",0.000206194182566737,5.49873526996358e-07,1248,149,3.09104245335832,0,0,3.09104245335832,22,1179,1318,20.1655611964189,19.0506383418092,21.2966423532693,TRUE,TRUE,TRUE,FALSE,TRUE
"Tbx3",0.000207531074178833,4.37813377812654e-06,1297,567,3.09104245335832,0,0,3.09104245335832,22,1227,1368,20.9573180062142,19.8262368493637,22.1045574653053,TRUE,TRUE,TRUE,FALSE,TRUE
"Uaca",0.000428160021210253,7.94888690464338e-06,3071,1397,3.78418963391826,0.693147180559945,0,3.09104245335832,22,2963,3180,49.6221461812519,47.8770495392541,51.3834011254904,TRUE,TRUE,TRUE,FALSE,TRUE
"BC028528",0.000410625661012757,5.52694914886432e-06,2500,813,3.73766961828337,0.693147180559945,0,3.04452243772342,21,2402,2598,40.3957556018006,38.81224198221,41.9792692213912,TRUE,TRUE,TRUE,FALSE,TRUE
"Cav1",0.000406047009833215,1.23015429293519e-05,2787,1932,3.73766961828337,0.693147180559945,0,3.04452243772342,21,2684,2891,45.0331883448873,43.3688832140931,46.7136517779222,TRUE,TRUE,TRUE,FALSE,TRUE
"H2-T23",0.000195565874682258,3.61676515436426e-06,1269,720,3.04452243772342,0,0,3.04452243772342,21,1200,1339,20.504885543474,19.3899626888643,21.6359667003244,TRUE,TRUE,TRUE,FALSE,TRUE
"Hmcn1",0.000199381104336641,1.13487807673372e-06,1144,252,3.04452243772342,0,0,3.04452243772342,21,1078,1211,18.485097763384,17.4186498154964,19.5677040135122,TRUE,TRUE,TRUE,FALSE,TRUE
"Vwf",0.000202206929635719,6.18655884775885e-07,2127,142,3.04452243772342,0,0,3.04452243772342,21,2037,2218,34.368708866012,32.9144616643471,35.8391143699175,TRUE,TRUE,TRUE,FALSE,TRUE
"Zic3",0.000203957428085282,7.11659690054359e-07,1212,169,3.04452243772342,0,0,3.04452243772342,21,1144,1281,19.5838623157529,18.485097763384,20.6987851703626,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc22a8",0.000400704446239782,5.72689284856416e-06,2345,791,3.71357206670431,0.693147180559945,0,3.02042488614436,20.5,2251,2440,37.891218754489,36.3723383438613,39.4262574673574,TRUE,TRUE,TRUE,FALSE,TRUE
"Hspa12b",0.000186366775394047,9.27575336338013e-07,1184,201,2.99573227355399,0,0,2.99573227355399,20,1117,1252,19.1314298530128,18.0488236028845,20.2301944053817,TRUE,TRUE,TRUE,FALSE,TRUE
"Isg15",0.00018525292821545,1.36675681860278e-06,1142,252,2.99573227355399,0,0,2.99573227355399,20,1076,1209,18.4527811589025,17.386333211015,19.5353874090308,TRUE,TRUE,TRUE,FALSE,TRUE
"Mmrn2",0.000186240977656508,6.68826587038088e-07,1343,145,2.99573227355399,0,0,2.99573227355399,20,1272,1415,21.7005999092873,20.5533604501962,22.8639976706191,TRUE,TRUE,TRUE,FALSE,TRUE
"She",0.000193283131048193,7.04831002608123e-07,1256,153,2.99573227355399,0,0,2.99573227355399,20,1187,1326,20.2948276143446,19.1799047597349,21.425908771195,TRUE,TRUE,TRUE,FALSE,TRUE
"Sp100",0.000188945248706355,1.06528148360086e-06,1132,191,2.99573227355399,0,0,2.99573227355399,20,1067,1198,18.2911981364953,17.2409084908485,19.3576460843829,TRUE,TRUE,TRUE,FALSE,TRUE
"Thbd",0.000193568849766359,2.66315459930084e-06,1279,594,2.99573227355399,0,0,2.99573227355399,20,1209,1350,20.6664685658812,19.5353874090308,21.8137080249723,TRUE,TRUE,TRUE,FALSE,TRUE
"Abcc4",0.000175668904758327,2.92726246010945e-06,1159,700,2.94443897916644,0,0,2.94443897916644,19,1093,1226,18.7274722969948,17.6610243491072,19.810078547123,TRUE,TRUE,TRUE,FALSE,TRUE
"Afap1l1",0.000367438059998819,6.8166900153925e-06,2413,1560,3.63758615972639,0.693147180559945,0,2.94443897916644,19,2317,2510,38.989983306858,37.4387862917488,40.5573386242078,TRUE,TRUE,TRUE,FALSE,TRUE
"Ctsh",0.000370731119645405,9.32136300142762e-06,2511,1362,3.63758615972639,0.693147180559945,0,2.94443897916644,19,2413,2610,40.5734969264485,38.989983306858,42.1731688482798,TRUE,TRUE,TRUE,FALSE,TRUE
"Kif26a",0.000176735789472714,3.25584003293555e-06,1111,744,2.94443897916644,0,0,2.94443897916644,19,1046,1177,17.9518737894402,16.9015841437934,19.0183217373277,TRUE,TRUE,TRUE,FALSE,TRUE
"Prom1",0.000370048152463029,7.02611277709246e-06,2268,1429,3.63758615972639,0.693147180559945,0,2.94443897916644,19,2175,2362,36.6470294819535,35.1443073735665,38.1659098925812,TRUE,TRUE,TRUE,FALSE,TRUE
"Robo4",0.000182108327970234,4.96343156011494e-07,1080,134,2.94443897916644,0,0,2.94443897916644,19,1016,1145,17.4509664199779,16.4168350765718,18.5012560656247,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc16a4",0.000177413452005434,6.50317196130827e-07,1070,194,2.94443897916644,0,0,2.94443897916644,19,1006,1135,17.2893833975707,16.2552520541646,18.3396730432175,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc39a8",0.000175628155219466,1.40426392114318e-06,1039,284,2.94443897916644,0,0,2.94443897916644,19,976,1103,16.7884760281083,15.770502986943,17.8226073715144,TRUE,TRUE,TRUE,FALSE,TRUE
"Heg1",0.000360048056496574,9.11930592756739e-06,2439,2413,3.61091791264422,0.693147180559945,0,2.91777073208428,18.5,2343,2536,39.4100991651167,37.8589021500075,40.9774544824665,TRUE,TRUE,TRUE,FALSE,TRUE
"Ceacam1",0.000162679784066856,1.41794360280579e-06,1020,245,2.83321334405622,0,0,2.83321334405622,17,958,1083,16.4814682855346,15.47965354661,17.4994413267,TRUE,TRUE,TRUE,FALSE,TRUE
"Clec14a",0.000162744998452634,2.60181672395995e-06,1217,705,2.83321334405622,0,0,2.83321334405622,17,1149,1286,19.6646538269565,18.5658892745876,20.7795766815662,TRUE,TRUE,TRUE,FALSE,TRUE
"Nos3",0.000162210758281361,2.12781565464795e-06,1058,554,2.83321334405622,0,0,2.83321334405622,17,995,1122,17.095483770682,16.0775107295166,18.1296151140881,TRUE,TRUE,TRUE,FALSE,TRUE
"Rasgrp3",0.000329270823325065,1.13312856578784e-05,1938,1612,3.52636052461616,0.693147180559945,0,2.83321334405622,17,1852,2025,31.3147897425158,29.9251757498139,32.7205620374585,TRUE,TRUE,TRUE,FALSE,TRUE
"St6galnac2",0.000163499351451216,8.89550873309296e-07,1051,236,2.83321334405622,0,0,2.83321334405622,17,988,1115,16.982375654997,15.9644026138316,18.0165069984031,TRUE,TRUE,TRUE,FALSE,TRUE
"Tspo",0.000327925482049137,1.31850437857862e-05,2426,2385,3.52636052461616,0.693147180559945,0,2.83321334405622,17,2330,2523,39.2000412359873,37.6488442208782,40.7673965533372,TRUE,TRUE,TRUE,FALSE,TRUE
