"gene","target.u","comparison.u","target.sum","comparison.sum","log.target.u","log.comparison.u","pval","fc","fc.disp","target.sum.L","target.sum.R","target.sum.per.100k","target.sum.L.per.100k","target.sum.R.per.100k","fc.thresh","pval.thresh","amt.thresh","user.selected","expr.pass"
"Metrn",0.000277779838724054,1.138605554229e-05,7432,2103,3.36729582998647,0.693147180559945,0,2.67414864942653,14.5,7264,7601,29.7726911912934,29.099680949079,30.4497074468543,TRUE,TRUE,TRUE,FALSE,TRUE
"Cbs",0.00012549586697967,2.61809309034563e-06,3169,571,2.63905732961526,0,0,2.63905732961526,14,3059,3280,12.6950562951035,12.2543948269869,13.1397237765665,TRUE,TRUE,TRUE,FALSE,TRUE
"Tst",0.00013096423535586,2.46907909619364e-06,3336,475,2.63905732961526,0,0,2.63905732961526,14,3223,3450,13.3640605239713,12.9113810158152,13.8207460454739,TRUE,TRUE,TRUE,FALSE,TRUE
"Fzd2",0.00026290848926392,5.37263619241817e-06,6311,915,3.29583686600433,0.693147180559945,0,2.60268968544438,13.5,6156,6467,25.281950229851,24.6610181611413,25.9068883119072,TRUE,TRUE,TRUE,FALSE,TRUE
"Papss2",0.000124832883789987,1.64610776455568e-06,3220,353,2.56494935746154,0,0,2.56494935746154,13,3109,3332,12.8993629757757,12.4546954943126,13.3480364705853,TRUE,TRUE,TRUE,FALSE,TRUE
"Pdpn",0.000124707144221917,4.30169893679409e-06,3173,736,2.56494935746154,0,0,2.56494935746154,13,3063,3284,12.7110803484895,12.270418880373,13.1557478299526,TRUE,TRUE,TRUE,FALSE,TRUE
"Vcam1",0.000251717006582601,1.4238216171909e-05,6419,2872,3.25809653802148,0.693147180559945,0,2.56494935746154,13,6262,6576,25.7145996712746,25.0856555758718,26.3435437666773,TRUE,TRUE,TRUE,FALSE,TRUE
"Slc15a2",0.000235585451980342,6.25342636612888e-06,6106,1509,3.2188758248682,0.693147180559945,0,2.52572864430826,12.5,5953,6260,24.4607174938156,23.8477974517989,25.0776435491788,TRUE,TRUE,TRUE,FALSE,TRUE
"Kcnj16",0.000233736912702198,8.0040150041801e-06,6228,1253,3.17805383034795,0.693147180559945,0,2.484906649788,12,6074,6383,24.9494511220903,24.3325250667272,25.5703831908,TRUE,TRUE,TRUE,FALSE,TRUE
"Maob",0.000217699831891759,1.05799016291453e-05,5908,2309,3.13549421592915,0.693147180559945,0,2.4423470353692,11.5,5758,6059,23.6675268512058,23.0666248492287,24.2724348665295,TRUE,TRUE,TRUE,FALSE,TRUE
"Cyp2j9",0.00020991773648254,6.86137084031217e-06,5652,1085,3.09104245335832,0.693147180559945,0,2.39789527279837,11,5505,5800,22.6419874344982,22.0531034725606,23.2348774097823,TRUE,TRUE,TRUE,FALSE,TRUE
"Nr2e1",0.000208110002229426,7.26391532794176e-06,5580,1559,3.09104245335832,0.693147180559945,0,2.39789527279837,11,5434,5727,22.3535544735492,21.7686765249581,22.9424384354867,TRUE,TRUE,TRUE,FALSE,TRUE
"Phgdh",0.000209882405455617,1.44731593335838e-05,5642,2537,3.09104245335832,0.693147180559945,0,2.39789527279837,11,5495,5790,22.601927301033,22.0130433390955,23.1948172763171,TRUE,TRUE,TRUE,FALSE,TRUE
"Ppp1r3c",0.000206442908818071,6.21360638585563e-06,5503,1296,3.09104245335832,0.693147180559945,0,2.39789527279837,11,5358,5649,22.0450914458676,21.464219510623,22.6299693944586,TRUE,TRUE,TRUE,FALSE,TRUE
"Gpld1",0.000198754356056472,1.39665242759789e-05,4833,2925,3.04452243772342,0.693147180559945,0,2.35137525716348,10.5,4697,4970,19.3610625037031,18.8162446885771,19.9098863321755,TRUE,TRUE,TRUE,FALSE,TRUE
"Plxnb1",0.000203056826910868,8.28669916869665e-06,5123,1421,3.04452243772342,0.693147180559945,0,2.35137525716348,10.5,4983,5264,20.5228063741922,19.9619645056802,21.0876542560507,TRUE,TRUE,TRUE,FALSE,TRUE
"Mgst1",0.000192431478565629,8.5350141578037e-06,5146,1853,2.99573227355399,0.693147180559945,0,2.30258509299405,10,5006,5287,20.614944681162,20.05410281265,21.1797925630205,TRUE,TRUE,TRUE,FALSE,TRUE
