"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"Otud7b",8.42758930090299e-06,-0.100751785330369,0.234,0.246,0.267913063875706,"Otud7b"
"Nbas",9.36943011978595e-06,-0.126635279594916,0.284,0.294,0.297854183507995,"Nbas"
"Slc22a23",1.01680272434267e-05,-0.122368022299735,0.223,0.233,0.323241586068534,"Slc22a23"
"Dixdc1",2.16403292775943e-05,-0.110493731096992,0.207,0.217,0.687946067734724,"Dixdc1"
"Ptpn11",5.51976832198216e-05,-0.108085605008585,0.215,0.225,1,"Ptpn11"
"Lhfpl3",6.6897446229339e-05,-0.130766131793405,0.153,0.141,1,"Lhfpl3"
"Bcl2l1",0.000105555620038207,-0.128958391314235,0.23,0.239,1,"Bcl2l1"
"Slain1",0.000185392176902145,-0.108661311819539,0.186,0.195,1,"Slain1"
"Gm48678",0.000208110258926163,-0.100310206018432,0.449,0.454,1,"Gm48678"
"Pde1c",0.000324853041250383,-0.123551295292873,0.094,0.102,1,"Pde1c"
"Tmod1",0.000767152612333545,-0.10401464549921,0.133,0.141,1,"Tmod1"
"Ankib1",0.00116281386057358,-0.100862666132015,0.276,0.282,1,"Ankib1"
"Sema6a",0.00218121022396019,-0.112701643145227,0.115,0.121,1,"Sema6a"
"Tgfbr1",0.00798575298491574,-0.110032916139473,0.153,0.16,1,"Tgfbr1"
"Ttll5",0.00863010249764458,-0.105514965986618,0.259,0.264,1,"Ttll5"
"Luzp2",0.132581120958605,0.14389091425254,0.22,0.216,1,"Luzp2"
