"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene"
"Apoe",2.0724902789594e-66,0.208436876760788,0.463,0.387,6.58844659681194e-62,"Apoe"
"Luc7l2",6.1236072454356e-66,0.126384762029506,0.726,0.688,1.94669474332398e-61,"Luc7l2"
"Gm16168",6.97559633467638e-66,-0.26334194810008,0.205,0.265,2.21754207479362e-61,"Gm16168"
"Gfap",9.78502469012561e-65,0.155270142133438,0.038,0.015,3.11065934899093e-60,"Gfap"
"Tyrobp",7.85783342733754e-64,0.123621972180628,0.03,0.01,2.4980052465506e-59,"Tyrobp"
"Mertk",7.99547238211049e-64,0.289093771521024,0.146,0.098,2.54176067027293e-59,"Mertk"
"Large1",8.64265843894817e-61,0.134746429277974,0.661,0.616,2.74750111774162e-56,"Large1"
"Trem2",2.25087389510455e-60,0.145293155385861,0.031,0.01,7.15552811253736e-56,"Trem2"
"Maml2",2.56112766231299e-60,0.192331931240216,0.421,0.358,8.14182483849301e-56,"Maml2"
"C1qb",1.24299088675073e-59,0.17971136417884,0.064,0.033,3.95146802898057e-55,"C1qb"
"C030029H02Rik",1.25613125158404e-58,-0.248870329851869,0.087,0.13,3.99324124878566e-54,"C030029H02Rik"
"Clec7a",4.43958972706942e-58,0.117248315570489,0.011,0,1.41134557423537e-53,"Clec7a"
"Ypel2",5.88625611844756e-58,-0.274342931178724,0.241,0.295,1.87124082005448e-53,"Ypel2"
"Gm44866",8.82650419972894e-58,-0.226566168431448,0.042,0.074,2.80594568509383e-53,"Gm44866"
"Tgfbr1",2.64117577277585e-57,0.381584524669226,0.153,0.108,8.39629778165443e-53,"Tgfbr1"
"Lrmda",7.17085833907441e-57,0.502823131499897,0.174,0.129,2.27961586599175e-52,"Lrmda"
"Fnbp1",2.88297126876685e-56,-0.230209697100342,0.455,0.507,9.16496566340982e-52,"Fnbp1"
"Cd9",8.80780004590132e-56,0.217589706344415,0.124,0.082,2.79999963459203e-51,"Cd9"
"Cd84",1.72369383697898e-55,0.23944476216876,0.042,0.019,5.47962270775617e-51,"Cd84"
"Hexb",3.64212931062897e-55,0.326001973441286,0.123,0.083,1.15783290784895e-50,"Hexb"
"Gjc3",1.159630200189e-54,-0.239284116846299,0.126,0.173,3.68646440640084e-50,"Gjc3"
"Ikzf1",1.35757543807082e-54,0.25378065318267,0.061,0.032,4.31573231762712e-50,"Ikzf1"
"St6galnac3",1.9324896448059e-54,-0.180997809295345,0.501,0.553,6.14338458083797e-50,"St6galnac3"
"Fyb",1.96076421185168e-54,0.296310367628539,0.079,0.047,6.23326942947649e-50,"Fyb"
"Diaph2",5.07866342191084e-54,0.173897216828115,0.52,0.461,1.61450710182546e-49,"Diaph2"
"Arglu1",5.3491959066188e-54,0.133262540510019,0.56,0.504,1.70050937871412e-49,"Arglu1"
"Ano4",1.01079453936342e-53,-0.211500582242865,0.346,0.402,3.21331584063631e-49,"Ano4"
"AU020206",2.55086556508707e-53,0.191806066246251,0.029,0.011,8.10920163141178e-49,"AU020206"
"Mbp",7.90881904039415e-53,-0.227820496411559,0.35,0.406,2.5142135729413e-48,"Mbp"
"Cdh10",1.34666117293416e-52,-0.188444352085118,0.387,0.441,4.28103586875771e-48,"Cdh10"
"Sox2ot",1.73813174550696e-52,-0.211904923007117,0.274,0.331,5.52552081896662e-48,"Sox2ot"
"Hsp90ab1",8.06347175884891e-51,-0.162576440798968,0.413,0.465,2.56337767213807e-46,"Hsp90ab1"
"Rreb1",1.95899929400199e-50,0.207542339137953,0.19,0.142,6.22765875563233e-46,"Rreb1"
"Csf3r",2.97154055541178e-49,0.270446481312005,0.053,0.028,9.44652742565404e-45,"Csf3r"
"Srsf2",7.51815461471628e-49,0.111963892694352,0.328,0.268,2.3900213520183e-44,"Srsf2"
"Prpf4b",2.04373941977924e-48,-0.124482635126299,0.474,0.518,6.4970476154782e-44,"Prpf4b"
"Gm26714",5.12445512678412e-48,0.11207875582956,0.012,0.002,1.62906428480467e-43,"Gm26714"
"C1qa",9.75576698508838e-48,0.163526410623444,0.06,0.033,3.1013583245596e-43,"C1qa"
"Klhl6",1.3309237843163e-47,0.144170691225146,0.018,0.005,4.23100671034152e-43,"Klhl6"
"Fhit",8.34216871363232e-47,0.187856707999541,0.324,0.271,2.65197543406372e-42,"Fhit"
"Gatm",8.37246459783276e-47,-0.218465066409151,0.136,0.179,2.66160649565104e-42,"Gatm"
"Arhgap23",2.19245112565002e-46,-0.253341297937875,0.253,0.3,6.96980212844142e-42,"Arhgap23"
"Gnao1",2.91326994864153e-46,-0.159532730789512,0.494,0.541,9.26128516673142e-42,"Gnao1"
"Gm8995",6.46716343183318e-46,0.124866118250772,0.015,0.003,2.05591125497977e-41,"Gm8995"
"Spock3",6.96498083271835e-46,-0.209571984610908,0.344,0.394,2.21416740672116e-41,"Spock3"
"Plekhh1",2.63399255424997e-45,-0.210042019589531,0.08,0.116,8.37346232996064e-41,"Plekhh1"
"Nkain2",2.7416849919179e-45,-0.116452086046661,0.791,0.844,8.71581658930701e-41,"Nkain2"
"Mog",3.76734460510264e-45,-0.177491358521473,0.131,0.176,1.19763884996213e-40,"Mog"
"Arhgap45",7.1603513992147e-45,0.220489227602209,0.069,0.041,2.27627570981035e-40,"Arhgap45"
"Gm21798",1.39330116237948e-44,-0.129565586878108,0.127,0.169,4.42930439520438e-40,"Gm21798"
"Fa2h",1.56215782276048e-44,-0.223128702776942,0.097,0.135,4.96609971855558e-40,"Fa2h"
"A330015K06Rik",2.08957535524088e-44,-0.175905712405158,0.411,0.458,6.64276005431077e-40,"A330015K06Rik"
"Gm20663",2.63266781140331e-44,0.222545726389747,0.033,0.015,8.36925097245114e-40,"Gm20663"
"Fkbp5",2.52069902480953e-43,0.191897670013221,0.235,0.187,8.01330219986948e-39,"Fkbp5"
"Apbb1ip",6.69487864964245e-43,0.369948994676455,0.104,0.071,2.12830192272134e-38,"Apbb1ip"
"Inpp4b",2.79325306298292e-42,0.170860964423196,0.352,0.301,8.8797514872227e-38,"Inpp4b"
"Frmd4a",1.19097057891426e-41,0.106980517475865,0.682,0.655,3.78609547036844e-37,"Frmd4a"
"Cfh",1.66801324896096e-41,0.199266370900734,0.056,0.032,5.30261411844688e-37,"Cfh"
"Gab2",2.26764802394995e-41,0.284766957571495,0.296,0.25,7.20885306813688e-37,"Gab2"
"Samsn1",5.09672583066856e-41,0.163995119052673,0.03,0.013,1.62024914156953e-36,"Samsn1"
"Mapt",1.03529182993915e-40,-0.117648484411103,0.658,0.703,3.29119272737657e-36,"Mapt"
"Plce1",1.12931680826888e-40,0.186755502762739,0.076,0.049,3.59009813348678e-36,"Plce1"
"C1qc",1.58141513531783e-40,0.153799334663115,0.048,0.026,5.02731871517539e-36,"C1qc"
"Tmem178b",5.29325818884956e-40,-0.151486094331933,0.532,0.574,1.68272677823527e-35,"Tmem178b"
"AC149090.1",6.00300460492405e-40,-0.130719355621409,0.467,0.51,1.90835516390536e-35,"AC149090.1"
"St18",1.67377319868618e-39,-0.247846514815279,0.281,0.325,5.32092499862338e-35,"St18"
"Sept4",3.82070320178652e-39,-0.193821722291943,0.141,0.18,1.21460154784794e-34,"Sept4"
"Pex5l",4.9903964341364e-39,-0.171867974214168,0.558,0.602,1.58644702641196e-34,"Pex5l"
"Dock2",5.66028107572596e-39,0.251364143946788,0.067,0.042,1.79940335397328e-34,"Dock2"
"Hapln2",1.07503606120113e-38,-0.161585112690604,0.06,0.089,3.4175396385584e-34,"Hapln2"
"Creb5",1.09404836864824e-38,-0.201050286373525,0.078,0.111,3.47797976393276e-34,"Creb5"
"Bcas1",1.24042717711975e-38,-0.181861480054351,0.109,0.146,3.94331799606369e-34,"Bcas1"
"Lair1",1.58340709421105e-38,0.227496722553506,0.061,0.037,5.03365115249694e-34,"Lair1"
"Zfp692",2.79692950243847e-38,-0.134079659330128,0.262,0.305,8.89143888825191e-34,"Zfp692"
"Gm42413",3.1483421601333e-38,-0.241448522355603,0.095,0.129,1.00085797270638e-33,"Gm42413"
"Rbm28",4.36051657698647e-38,-0.135111329328694,0.252,0.295,1.386208219824e-33,"Rbm28"
"Kif21a",4.70834070510413e-38,-0.11574877091863,0.532,0.571,1.4967815101526e-33,"Kif21a"
"Slc24a2",5.22508790988039e-38,-0.126141622675014,0.707,0.757,1.66105544655098e-33,"Slc24a2"
"Sec14l5",7.81756928682598e-38,-0.181774542409104,0.084,0.117,2.48520527628198e-33,"Sec14l5"
"Zfp536",1.08482763335819e-37,-0.162962079533272,0.346,0.391,3.44866704644568e-33,"Zfp536"
"Gm2629",1.17098954758124e-37,0.190347924885992,0.043,0.023,3.72257577176078e-33,"Gm2629"
"Prickle1",1.50079849095276e-37,-0.121042797872551,0.616,0.639,4.77103840273883e-33,"Prickle1"
"Gm48370",5.70944877338874e-37,-0.183815605101209,0.035,0.057,1.81503376506028e-32,"Gm48370"
"Slc38a2",1.11530882447771e-36,-0.204002552421102,0.284,0.325,3.54556675301462e-32,"Slc38a2"
"Tnfsf8",1.43602156476196e-36,0.102693438737277,0.012,0.002,4.56511255437828e-32,"Tnfsf8"
"Tbxas1",2.87897905588293e-36,0.239050063709418,0.057,0.035,9.15227441865184e-32,"Tbxas1"
"Dock8",8.47589383744991e-36,0.211033618914023,0.072,0.047,2.69448665092533e-31,"Dock8"
"Blnk",3.14073114505491e-35,0.188072920905739,0.046,0.026,9.98438431012957e-31,"Blnk"
"Fli1",3.43639003184838e-35,0.195444043482096,0.052,0.03,1.0924283911246e-30,"Fli1"
"Sorcs1",4.12846673713813e-35,-0.14145632267968,0.231,0.276,1.31243957573621e-30,"Sorcs1"
"Ugt8a",4.71187676533459e-35,-0.194647092079503,0.105,0.139,1.49790562369987e-30,"Ugt8a"
"Havcr2",6.11899029447416e-35,0.129691884609257,0.025,0.011,1.94522701461333e-30,"Havcr2"
"Gcnt2",1.3923645989217e-34,0.133882284620987,0.093,0.064,4.42632705997208e-30,"Gcnt2"
"Fbxw15",3.30901401169874e-34,-0.176334675835722,0.043,0.067,1.05193555431903e-29,"Fbxw15"
"Serpine2",6.10150094533617e-34,0.201931818077562,0.126,0.093,1.93966715052237e-29,"Serpine2"
"Eml1",9.30544960207398e-34,-0.230636805672175,0.188,0.224,2.95820242849932e-29,"Eml1"
"Robo2",1.41899593398029e-33,0.127613785486143,0.491,0.451,4.51098807412335e-29,"Robo2"
"Ephb1",1.99867575307684e-33,-0.208077135291039,0.176,0.212,6.35379021903129e-29,"Ephb1"
"Rbm47",2.1021349618738e-33,0.192937574794729,0.042,0.024,6.68268704379682e-29,"Rbm47"
"Gm37459",2.18199387386242e-33,-0.232093617333359,0.233,0.269,6.93655852500863e-29,"Gm37459"
"Ctsh",1.59166833316671e-32,0.116407711234925,0.029,0.014,5.05991363113697e-28,"Ctsh"
"Fgf13",1.77269929448369e-32,0.449121622690002,0.301,0.261,5.63541105716364e-28,"Fgf13"
"Dnm3",1.84562850131711e-32,-0.178521719477355,0.467,0.503,5.8672530056871e-28,"Dnm3"
"Samd4",2.30653299579125e-32,-0.178486446839368,0.125,0.158,7.33246839362037e-28,"Samd4"
"Tec",2.55783853543398e-32,0.12077223764628,0.026,0.012,8.13136870414463e-28,"Tec"
"Mylip",2.82999014150735e-32,0.16247165637411,0.102,0.073,8.99653865985185e-28,"Mylip"
"Frrs1",6.1508663340159e-32,0.149365758547183,0.037,0.02,1.95536040758365e-27,"Frrs1"
"Map7",6.32338104053837e-32,-0.139929803260274,0.427,0.466,2.01020283278715e-27,"Map7"
"9330111N05Rik",1.43920333891148e-31,-0.31402774729948,0.055,0.08,4.57522741439959e-27,"9330111N05Rik"
"Slc13a1",2.46002671156295e-31,-0.199978087570909,0.038,0.06,7.82042491605862e-27,"Slc13a1"
"Gm2245",3.63235046317827e-31,0.161920443455684,0.033,0.017,1.15472421224437e-26,"Gm2245"
"4930420G21Rik",4.1927929068192e-31,-0.178852285353077,0.078,0.107,1.33288886507782e-26,"4930420G21Rik"
"Mast3",5.16445385310418e-31,-0.164564638087566,0.389,0.424,1.64177987990182e-26,"Mast3"
"Vsnl1",8.68401270814601e-31,-0.126653038981542,0.357,0.394,2.76064763991962e-26,"Vsnl1"
"Ttr",9.05502218579826e-31,0.19648189358766,0.461,0.42,2.87859155286527e-26,"Ttr"
"Phlpp1",9.48633536050502e-31,-0.167811940325342,0.515,0.548,3.01570601110455e-26,"Phlpp1"
"Meis2",1.00847139290829e-30,-0.132036038742107,0.181,0.219,3.20593055805546e-26,"Meis2"
"Lrrk1",1.56204229152304e-30,0.126412891491831,0.038,0.021,4.96573244475176e-26,"Lrrk1"
"Mal",1.66216181276386e-30,-0.102455523378156,0.114,0.148,5.28401240277632e-26,"Mal"
"Fcer1g",1.70972237020979e-30,0.113325426596341,0.03,0.016,5.43520741489693e-26,"Fcer1g"
"Gm26936",1.96028401553784e-30,-0.134931316953142,0.155,0.19,6.23174288539479e-26,"Gm26936"
"Slco2b1",3.14646450063439e-30,0.171134830125422,0.05,0.03,1.00026106475167e-25,"Slco2b1"
"4930511M06Rik",4.2062917092383e-30,-0.182135778015359,0.085,0.114,1.33718013436686e-25,"4930511M06Rik"
"Slc9a9",7.13776167766813e-30,0.141354628028322,0.406,0.359,2.2690944373307e-25,"Slc9a9"
"B2m",8.87632083132724e-30,0.123024773817822,0.051,0.031,2.82178239227893e-25,"B2m"
"Pde8a",9.90231214934348e-30,-0.191250162312369,0.114,0.146,3.14794503227629e-25,"Pde8a"
"1700111E14Rik",1.20802940418134e-29,-0.141607085868967,0.254,0.291,3.84032547589247e-25,"1700111E14Rik"
"Aspa",1.50003381884292e-29,-0.127765295554995,0.13,0.165,4.76860751010165e-25,"Aspa"
"Kcnip4",1.74975352478247e-29,0.136908978875952,0.628,0.61,5.56246645528349e-25,"Kcnip4"
"Mag",1.87351464217113e-29,-0.160791339027145,0.114,0.147,5.95590304746201e-25,"Mag"
"Kcnab1",2.49937124366472e-29,-0.121396569819607,0.501,0.538,7.94550118361014e-25,"Kcnab1"
"Zfp804b",2.59907288751462e-29,0.130867740172603,0.235,0.197,8.26245270940898e-25,"Zfp804b"
