"","diff","lwr","upr","p adj"
"AD-Ctrl",-0.0715800113949284,-0.132230718186865,-0.0109293046029917,0.0257681276015876
"ADp40KO-Ctrl",-0.00967144603798326,-0.0703221528299199,0.0509792607539534,0.878904852950349
"ADp40KO-AD",0.0619085653569451,0.00125785856500848,0.122559272148882,0.0462422364107518
