"","celltype","Df","sum_sq","mean_sq","f_value","p_value"
"1","Dentate_Gyrus",2,0.000759210173681015,0.000379605086840508,0.160695544130365,0.855097765612324
"2","CA1",2,0.00151972644358606,0.00075986322179303,2.3843171876822,0.172970426381782
"3","CA2_3",2,0.000102008878445756,5.10044392228782e-05,0.573906729584544,0.591471906284865
"4","subiculum",2,0.0062710644134833,0.00313553220674165,0.935153368579326,0.443076559283707
"5","Unidentified_Neurons",2,0.000362177719481467,0.000181088859740734,2.00159833237165,0.215792988488014
"6","Inhibitory_Neurons",2,0.00012884451817422,6.44222590871098e-05,0.632953942598032,0.56309813376947
