"","diff","lwr","upr","p adj"
"AD-Ctrl",0.00684842616184831,-0.0221427856226935,0.0358396379463902,0.758708213897098
"ADp40KO-Ctrl",-0.0162515731505599,-0.0452427849351017,0.012739638633982,0.273352208097003
"ADp40KO-AD",-0.0230999993124082,-0.05209121109695,0.00589121247213368,0.109522986220912
