"","diff","lwr","upr","p adj"
"AD-Ctrl",0.000871682236025698,-0.0244026966543467,0.0261460611263981,0.993851688112457
"ADp40KO-Ctrl",-0.00755492772150802,-0.0328293066118804,0.0177194511688644,0.650236064867345
"ADp40KO-AD",-0.00842660995753372,-0.0337009888479061,0.0168477689328387,0.590653788603941
