"","diff","lwr","upr","p adj"
"AD-Ctrl",0.00292063468938105,-0.00510391627868927,0.0109451856574514,0.539294653024512
"ADp40KO-Ctrl",0.00553902133182943,-0.00248552963624089,0.0135635722998997,0.166179506558856
"ADp40KO-AD",0.00261838664244838,-0.00540616432562194,0.0106429376105187,0.60282787665176
