"","gene","-log10(p-value)","logFC_DAM","logFC_DroNc","FDR_DroNc"
"90","Rpl18a","23.752794999999999",1.00178378392385,NA,NA
"91","Rpl36a-ps1","23.698608",1.35672394625083,NA,NA
"92","Pld3","23.484348000000001",1.54781099324218,NA,NA
"93","Gm8730","23.401655999999999",1.14712806495566,NA,NA
"94","Gm10154","22.755306000000001",1.15669605224919,NA,NA
"95","Rps18","22.424620000000001",1.46832494624482,NA,NA
"96","Rps24","22.388148999999999",1.02538318093939,NA,NA
"97","Rpl37","22.342714999999998",1.09236356424234,NA,NA
"98","Rps21","22.320035000000001",1.04566936482933,NA,NA
"99","Slamf9","22.149875000000002",1.56994653948694,NA,NA
"100","Tmem163","22.056021000000001",5.09794207484739,1.45292066376947,2.11605045741693e-202
"101","Gm15427","21.754477000000001",1.02679260109422,NA,NA
"102","Trem2","21.718685000000001",0.968480289181436,0.275438846743021,1.22112126662048e-06
"103","Timp2","21.681919000000001",1.13611014347003,NA,NA
"104","Aldoa","21.461504000000001",1.08250067544493,NA,NA
"105","Rps5","21.416384000000001",1.08400290947645,NA,NA
"106","Rps24-ps3","21.302755999999999",1.37226280362947,NA,NA
"107","Rpl23","21.209807999999999",1.21020245514315,NA,NA
"108","Myo5a","21.152702999999999",3.26605109019371,1.50213567210216,1.54247472008195e-215
"109","Gpr65","21.025255999999999",1.97923432269642,NA,NA
"110","Gm6030","20.885179999999998",1.30433316307824,NA,NA
"111","Rps20","20.770154999999999",0.971474301818711,NA,NA
"112","Rpl10a","20.767106999999999",1.44410246112508,NA,NA
"113","Grn","20.758364",0.854880560606961,NA,NA
"114","Atp6v0c","20.69341",1.21486451351407,NA,NA
"115","Gm5559","20.636218",1.21132241446509,NA,NA
"116","Rpsa","20.588932",0.997544028037552,NA,NA
"117","Gm11361","20.392085000000002",1.13984455568585,NA,NA
"118","Rps19","20.333043",1.06267980872114,NA,NA
"119","Lrpap1","20.314464000000001",1.38526167679301,NA,NA
"120","Cck","20.215574",5.11419942809584,NA,NA
"121","Adssl1","20.178213",3.06960575965807,NA,NA
"122","Gstm5","20.024685999999999",2.23563889213241,NA,NA
"123","Rps19-ps3","19.943438",1.49536305317519,NA,NA
"124","Aplp2","19.914469",1.74232951930121,0.673563073411601,5.52134469325107e-40
"125","Apoc4","19.887951999999999",7.14971369864313,NA,NA
"126","Fxyd6","19.874400000000001",5.74860460873494,NA,NA
