"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sptan1.2",0,-0.524447069075678,0.067,0.438,0,"Microglia","Sptan1"
"Sycp2.3",0,-0.525801816573159,0.003,0.188,0,"Microglia","Sycp2"
"Nwd2.4",0,-0.526400537007404,0.008,0.212,0,"Microglia","Nwd2"
"Lmtk2.2",0,-0.526770016656869,0.021,0.288,0,"Microglia","Lmtk2"
"R3hdm1.5",0,-0.527466273990371,0.216,0.636,0,"Microglia","R3hdm1"
"Mlip.4",0,-0.528013431875613,0.005,0.208,0,"Microglia","Mlip"
"Vmp1.5",0,-0.528606541676415,0.144,0.446,0,"Microglia","Vmp1"
"Ptprr.5",0,-0.531651500865596,0.008,0.246,0,"Microglia","Ptprr"
"Rundc3b.3",0,-0.531926824760103,0.007,0.245,0,"Microglia","Rundc3b"
"Prkcg.4",0,-0.532062460348111,0.033,0.311,0,"Microglia","Prkcg"
"Samd5.3",0,-0.533057187123712,0.002,0.185,0,"Microglia","Samd5"
"Camk2b.5",0,-0.53358382227221,0.072,0.423,0,"Microglia","Camk2b"
"Sorcs2.3",0,-0.535055535252868,0.005,0.207,0,"Microglia","Sorcs2"
"Prkcz.1",0,-0.536105826968148,0.036,0.312,0,"Microglia","Prkcz"
"Jam3.4",0,-0.538078101013999,0.032,0.242,0,"Microglia","Jam3"
"Ccdc148.2",0,-0.53974883765311,0.008,0.257,0,"Microglia","Ccdc148"
"Fam171b.2",0,-0.540480306725107,0.06,0.391,0,"Microglia","Fam171b"
"Cdc37l1.4",0,-0.540527896684105,0.158,0.472,0,"Microglia","Cdc37l1"
"Nexmif.3",0,-0.540678815752741,0.023,0.299,0,"Microglia","Nexmif"
"Rab3c.4",0,-0.541885227743321,0.043,0.316,0,"Microglia","Rab3c"
"Mpdz",0,-0.541973021235101,0.009,0.229,0,"Microglia","Mpdz"
"Ppp2r3a.2",0,-0.542082324299736,0.097,0.416,0,"Microglia","Ppp2r3a"
"Khdrbs3.5",0,-0.543562108123595,0.127,0.406,0,"Microglia","Khdrbs3"
"Gabra4.3",0,-0.543998382329009,0.016,0.27,0,"Microglia","Gabra4"
"Nxpe4.2",0,-0.544504611845698,0.006,0.21,0,"Microglia","Nxpe4"
"Bicdl1.3",0,-0.544897045052861,0.007,0.266,0,"Microglia","Bicdl1"
"Itpr1.5",0,-0.545196379841188,0.074,0.404,0,"Microglia","Itpr1"
"Arhgap44.2",0,-0.545259728239101,0.009,0.269,0,"Microglia","Arhgap44"
"Arhgap20.3",0,-0.546636059933927,0.011,0.25,0,"Microglia","Arhgap20"
"C2cd5.2",0,-0.547868417300923,0.063,0.428,0,"Microglia","C2cd5"
"Shank1.4",0,-0.54796907558961,0.016,0.301,0,"Microglia","Shank1"
"Cplane1.2",0,-0.548742342999912,0.083,0.484,0,"Microglia","Cplane1"
"Rnf112.5",0,-0.550120597560091,0.023,0.302,0,"Microglia","Rnf112"
"Vav3.5",0,-0.550257214312471,0.005,0.191,0,"Microglia","Vav3"
"3110021N24Rik.1",0,-0.550753233769436,0.033,0.318,0,"Microglia","3110021N24Rik"
"Gm6994.3",0,-0.553004433187251,0.001,0.193,0,"Microglia","Gm6994"
"Gm29237.1",0,-0.554215591118459,0.013,0.244,0,"Microglia","Gm29237"
