"","diff","lwr","upr","p adj"
"AD-Ctrl",0.0034147214655339,-0.0341243723363326,0.0409538152674004,0.958261804622737
"ADp40KO-Ctrl",-0.0189816777098405,-0.056520771511707,0.018557416092026,0.334652305234142
"ADp40KO-AD",-0.0223963991753744,-0.0599354929772409,0.0151426946264921,0.238557446087615
